id,name,symbol,price_usd,market_cap,ai,gaming,memes,rwa,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,atl,atl_change_percentage
anon-inu,Anon Inu,ainu,1.162e-09,0.0,0,0,1,0,6223.0,582432.0,24.7,0.000232565,0.00020407999999999998,3.3768800000000005e-07,1.1562299999999999,356.71000000000004,0.69408,0.0,501134747427524.0,1000000000.0,1.035e-05,-99.98877,4.4168e-10,163.13801
chaos-2,Chaos,chaos,1.242e-05,0.0,0,0,1,0,6223.0,1239962.0,539.07,1.241e-05,1.176e-05,5.72087e-07,4.83043,0.0,0.0,0.0,99999999999.99998,100000000000.0,0.00024072,-94.84329,4.74e-06,161.62254
brett,Brett,brett,0.00044865,0.0,0,0,1,0,6223.0,447811.0,2451.07,0.00045311,0.00041959,1.878e-05,4.36791,0.0,0.0,0.0,1000000000.0,1000000000.0,0.02062746,-97.83041,0.00018571,140.98121
bonke-base,Bonke (Base),bonke,8.82e-06,0.0,0,0,1,0,6223.0,8821.2,1.68,8.76e-06,8.48e-06,2.43154e-07,2.83461,0.0,0.0,0.0,1000000000.0,1000000000.0,0.00160544,-99.45421,6.76e-06,29.60031
1000chems,1000CHEMS,1000cheems,0.00133714,0.0,0,0,1,0,6223.0,293881506270.0,1750598.0,0.00138359,0.00133279,-4.952397135692e-06,-0.36901,0.0,0.0,0.0,219776051832671.0,1000000000.0,0.00214439,-37.64284,0.00067296,98.70287
bull-2,Bull,bull,0.00010702,0.0,0,0,1,0,6223.0,107014.0,18749.63,0.00010711,9.45e-05,1.251e-05,13.23777,0.0,0.0,0.0,1000000000.0,1000000000.0,0.0004865,-78.00336,8.773e-05,21.98414
amc,AMC,amc,0.00073378,0.0,0,0,1,0,6223.0,737504.0,11309.98,0.0007375,0.00069238,3.009e-05,4.27559,0.0,0.0,0.0,1000000000.0,1000000000.0,0.02844162,-97.42461,0.00048425,51.26067
bonke,BONKE,bonke,1.13e-06,0.0,0,0,1,0,6223.0,11238.81,198.66,1.12e-06,1.04e-06,7.9339e-08,7.57662,0.0,0.0,0.0,10000000000.0,1000000000.0,0.00010458,-98.92537,6.11223e-07,83.87416
chadimir-putni,Chadimir Putni,putni,0.0002867,0.0,0,0,1,0,6223.0,286695.0,6.47,0.00028853,0.00028577,-1.838431426675e-06,-0.63716,0.0,0.0,0.0,1000000000.0,1000000000.0,0.01687661,-98.30123,0.00022843,25.50525
aishiba,AiShiba,shibai,1.43885e-13,0.0,0,0,1,0,6223.0,30216.0,2.14,1.44747e-13,1.43659e-13,-3.14e-16,-0.21804,0.0,0.0,0.0,2.1e+17,2.1e+17,3.1043e-10,-99.95365,1.27323e-13,13.00784
bitcoin-bull-2,Bitcoin Bull,btcbull,0.00457144,0.0,0,0,1,0,6223.0,96080699.0,2046289.0,0.00549528,0.0017686,0.0025725,128.69327,0.0,0.0,0.0,21000000000.0,21000000000.0,0.00549528,-16.74185,0.00136307,235.66033
crypto-journey,Crypto Journey,daddy,0.0388489,0.0,0,0,1,0,6223.0,38849.0,2122.28,0.04082493,0.03316978,-0.0019760322151636,-4.84026,0.0,0.0,0.0,1000000.0,1000000.0,8.35,-99.53804,0.01655577,133.12247
